;MODULO;ACCIONES;RESPUESTA;RECOMENDACIONES;ANEXOS;FORTALECIMIENTOS;Columna1
3. Actualizamos la información correspondiente a planes y programas de proyectos ambientales.Sí - Básico;Módulo 1: Transparencia y Acceso a la Información Ambiental;3. Actualizamos la información correspondiente a planes y programas de proyectos ambientales.;Sí - Básico;Actualicen de manera periódica la información relacionada con planes, programas y proyectos ambientales, asegurando el cumplimiento de los principios de transparencia y máxima publicidad establecidos en la Ley 1712 de 2014 y en el Acuerdo de Escazú, publicando información clara, comprensible y accesible, para facilitar su consulta y comprensión por parte de la persona que consulte. ;;;
3. Actualizamos la información correspondiente a planes y programas de proyectos ambientales.Sí - Intermedio;Módulo 1: Transparencia y Acceso a la Información Ambiental;3. Actualizamos la información correspondiente a planes y programas de proyectos ambientales.;Sí - Intermedio;Establezcan un protocolo o instructivo para la actualización de la información relacionada con planes, programas y proyectos ambientales,  asegurando que se mantega al día. Incluya una rutina de revisión periódica de todos los planes y proyectos ambientales disponibles, completen la información que haga falta y aseguren su actualización en la página web institucional. Presenten estos contenidos de forma clara, comprensible y accesible, para facilitar su consulta y comprensión por parte de la ciudadanía.;;;
3. Actualizamos la información correspondiente a planes y programas de proyectos ambientales.Sí - Avanzado;Módulo 1: Transparencia y Acceso a la Información Ambiental;3. Actualizamos la información correspondiente a planes y programas de proyectos ambientales.;Sí - Avanzado;Mantenga actualizada la información relacionada con planes, programas y proyectos ambientales disponibles. Asegurense que la información se publique en formatos abiertos y en línea como lo establece la Ley 1712 de 2014, el CONPES 3920 y el Acuerdo de Escazú. Incorporen indicadores y avances de seguimiento de esos planes, programas y proyectos ambientales  para facilitar su monitoreo ciudadano.  ;VER ANEXO XX;"CONPES 3920 
Cómo diseñar rubricas  de avance para el seguimiento de planes, programas y proyectos ambientales  para facilitar su monitoreo ciudadano.";
3. Actualizamos la información correspondiente a planes y programas de proyectos ambientales.No;Módulo 1: Transparencia y Acceso a la Información Ambiental;3. Actualizamos la información correspondiente a planes y programas de proyectos ambientales.;No;¡ALERTA! El acceso a la información publica ambiental es un derecho de obligatorio cumplimiento. Identifiquen planes, programas y proyectos ambientales en su territorio, organice la información de cada uno y establezcan un sistema claro y práctico para la publicación y actualización de la información de manera que se mantenga al día, asegurando el cumplimiento de los principios de transparencia y máxima publicidad establecidos en la Ley 1712 de 2014 y en el Acuerdo de Escazú.  ;VER ANEXO XX;Como identificar los planes, programas y proyectos ambientales en mi territorio;
3. Actualizamos la información correspondiente a planes y programas de proyectos ambientales.No aplica;Módulo 1: Transparencia y Acceso a la Información Ambiental;3. Actualizamos la información correspondiente a planes y programas de proyectos ambientales.;No aplica;¡ALERTA! tener lineamientos de actualización de la información correspondiente a planes y programas de proyectos ambientales es obligatorio en el marco del derecho de acceso a la información pública ambiental.  Pidan un concepto al área juridica para asegurar que en realidad esto no aplica a su entidad.  ;VER ANEXO XX;;
4. Nuestra página es accesible para todas las poblaciones diferenciales de mi territorio.Sí - Básico;Módulo 1: Transparencia y Acceso a la Información Ambiental;4. Nuestra página es accesible para todas las poblaciones diferenciales de mi territorio.;Sí - Básico;Identifiquen de manera precisa los grupos poblacionales presentes en su territorio y reconozcan sus necesidades específicas en materia de accesibilidad. A partir de este análisis, incorporen criterios de accesibilidad y enfoque diferencial en la gestión de la información ambiental, y elaboren una ruta o plan de trabajo que oriente su implementación progresiva.  ;VER ANEXO XX;"Recomendaciones de Mapeo para indentificar grupos poblacionales presentes en su territorio y diagnosticar necesidades específicas en materia de accesibilidad

modelo de ruta o plan de trabajo para aumentar la accesiblilidad de la página web a todas las poblaciones diferenciales del territorio ";
4. Nuestra página es accesible para todas las poblaciones diferenciales de mi territorio.Sí - Intermedio;Módulo 1: Transparencia y Acceso a la Información Ambiental;4. Nuestra página es accesible para todas las poblaciones diferenciales de mi territorio.;Sí - Intermedio;Revisen los criterios de accesibilidad definidos en la Resolución 1519 de 2020 (Anexo Técnico 1 - Guía WCAG) y en el artículo 14 del Decreto 2106 de 2019. Identifiquen el nivel actual de cumplimiento, determinen los aspectos pendientes y valoren los recursos necesarios para su implementación. Con base en este diagnóstico, elaboren una ruta o plan de trabajo que permita avanzar de forma planificada y sostenible.  ;VER ANEXO XX;"resolución 1519 de 2020  (anexo técnico 1 -Guía de Accesibilidad de Contenidos Web - WCAG)
Decreto 2106 de 2019. ";
4. Nuestra página es accesible para todas las poblaciones diferenciales de mi territorio.Sí - Avanzado;Módulo 1: Transparencia y Acceso a la Información Ambiental;4. Nuestra página es accesible para todas las poblaciones diferenciales de mi territorio.;Sí - Avanzado;Complementen este cumplimiento con acciones innovadoras que mejoren la experiencia de acceso, e incluyan validaciones con los grupos poblacionales como parte del proceso de mejora continua. Aseguren que la página web institucional cumpla con los estándares de accesibilidad establecidos en la Resolución 1519 de 2020 y en el artículo 14 del Decreto 2106 de 2019, garantizando el acceso efectivo a la información ambiental para todas las poblaciones del territorio. ;VER ANEXO XX;"Recomendaciones para validar con grupos poblacionales acceso a información
Check list Resolución 1519 de 2020 y en el artículo 14 del Decreto 2106 de 2019,";
4. Nuestra página es accesible para todas las poblaciones diferenciales de mi territorio.No;Módulo 1: Transparencia y Acceso a la Información Ambiental;4. Nuestra página es accesible para todas las poblaciones diferenciales de mi territorio.;No;¡ALERTA! Revisen los criterios de accesibilidad contenidos en la normativa vigente (Resolución 1519 de 2020 y en el artículo 14 del Decreto 2106 de 2019, ) y elaboren una ruta o plan de trabajo que les permita iniciar su implementación de forma ordenada, gradual y acorde con las capacidades de la entidad. Este proceso debe orientarse a garantizar el acceso equitativo a la información ambiental.  ;VER ANEXO XX;SI HACEMOS EL CHECK LIST LA RECOMENDACIÓN SERÍA DILIGENCIARLO Y HACER EL PLAN;
4. Nuestra página es accesible para todas las poblaciones diferenciales de mi territorio.No aplica;Módulo 1: Transparencia y Acceso a la Información Ambiental;4. Nuestra página es accesible para todas las poblaciones diferenciales de mi territorio.;No aplica;¡ALERTA! es un compromiso con el acceso a la información pública garantizar el acceso equitativo a la información ambiental a todas las poblaciones de su territorio. Pidan un concepto al área juridica para asegurar que en realidad esto no aplica a su entidad.  ;VER ANEXO XX;;
5. Hemos hecho pruebas de sistema de lenguaje claro en mi página.Sí - Básico;Módulo 1: Transparencia y Acceso a la Información Ambiental;5. Hemos hecho pruebas de sistema de lenguaje claro en mi página.;Sí - Básico;Realicen pruebas de comprensión dirigidas a la ciudadanía, enfocadas en contenidos clave como trámites, normativas o decisiones ambientales. Estas pruebas deben permitir identificar dificultades en el entendimiento de la información y orientar ajustes que fortalezcan la transparencia. Se recomienda basarse en las herramientas y guías de la Estrategia Nacional de Lenguaje Claro (DAFP), priorizando aquellos contenidos que inciden directamente en el ejercicio del derecho al acceso a la información ambiental, conforme a la Ley 1712 de 2014, el Acuerdo de Escazú y el Decreto 1499 de 2017. ;VER ANEXO XX;"Modelo de prueba de comprensión dirigidas a la ciudadanía
guías de la Estrategia Nacional de Lenguaje Claro (DAFP)
 Decreto 1499 de 2017.";
5. Hemos hecho pruebas de sistema de lenguaje claro en mi página.Sí - Intermedio;Módulo 1: Transparencia y Acceso a la Información Ambiental;5. Hemos hecho pruebas de sistema de lenguaje claro en mi página.;Sí - Intermedio;Institucionalicen la implementación del lenguaje claro a través de protocolos que incluyan validaciones sistemáticas con diversos públicos, especialmente aquellos con mayores barreras de acceso, como comunidades rurales, grupos étnicos o personas con baja escolaridad. Este proceso debe estar alineado con los principios y herramientas de la Estrategia Nacional de Lenguaje Claro (DAFP), promoviendo una comunicación pública comprensible y garantizando el acceso efectivo y no discriminatorio a la información ambiental, en cumplimiento de la Ley 1712 de 2014, el Acuerdo de Escazú y el Decreto 1499 de 2017.;;"Modelo de prueba de comprensión dirigidas a la ciudadanía
guías de la Estrategia Nacional de Lenguaje Claro (DAFP)
 Decreto 1499 de 2017.
Modelo Protocolo para lenguaje claro ambiental";
5. Hemos hecho pruebas de sistema de lenguaje claro en mi página.Sí - Avanzado;Módulo 1: Transparencia y Acceso a la Información Ambiental;5. Hemos hecho pruebas de sistema de lenguaje claro en mi página.;Sí - Avanzado;Establezcan procesos y procedimientos que permitan la cocreación de documentos, contenidos o textos junto con los grupos poblacionales presentes en el territorio. Esta colaboración debe garantizar la inclusión de sus voces, saberes y necesidades, fortaleciendo la legitimidad de la información ambiental y promoviendo el acceso equitativo al conocimiento público.;VER ANEXO XX;Modelo de cocreación ciudadana para la  inclusión de voces, saberes y necesidades ;
5. Hemos hecho pruebas de sistema de lenguaje claro en mi página.No;Módulo 1: Transparencia y Acceso a la Información Ambiental;5. Hemos hecho pruebas de sistema de lenguaje claro en mi página.;No;¡ALERTA! Inicien un diagnóstico básico de los contenidos publicados en la página web institucional, con especial atención a aquellos relacionados con los derechos de acceso a la información ambiental. Como parte del compromiso con la transparencia, se sugiere aplicar los lineamientos de la Estrategia Nacional de Lenguaje Claro del Departamento Administrativo de la Función Pública (DAFP), para asegurar el uso de un lenguaje accesible, directo y comprensible para toda la ciudadanía, en concordancia con la Ley 1712 de 2014, el Acuerdo de Escazú y el Decreto 1499 de 2017.;;Check list diagnóstico básico de los contenidos publicados en la página web institucional sobreinformación ambiental.;
5. Hemos hecho pruebas de sistema de lenguaje claro en mi página.No aplica;Módulo 1: Transparencia y Acceso a la Información Ambiental;5. Hemos hecho pruebas de sistema de lenguaje claro en mi página.;No aplica;¡ALERTA! es un compromiso con la transparencia y la lucha contra la corrupción el garantizar la comprensión de la información ambiental a todas las poblaciones de su territorio. Pidan un concepto al área juridica para asegurar que en realidad esto no aplica a su entidad.  ;VER ANEXO XX;;
6. Dentro de nuestra página web los canales de contacto son visibles y accesibles a todas las poblaciones diferenciales de mi territorio.Sí - Básico;Módulo 1: Transparencia y Acceso a la Información Ambiental;6. Dentro de nuestra página web los canales de contacto son visibles y accesibles a todas las poblaciones diferenciales de mi territorio.;Sí - Básico;Realicen los ajustes necesarios para asegurar que de manera contínua los canales de contacto institucionales sean visibles, accesibles y estén adaptados a las características y necesidades de las poblaciones diferenciales del territorio. Revisen los criterios definidos en el Decreto 1499 de 2017 (relacionamiento Estado–Ciudadanía), la Ley 1712 de 2014, la Resolución 1519 de 2020 (anexo técnico 2) y el Acuerdo de Escazú. ;VER ANEXO XX;"Check list  canales de contacto visibles y accesibles a todas las poblaciones diferenciales de mi territorio
resolución 1519 de 2020 (anexo técnico 2)";
6. Dentro de nuestra página web los canales de contacto son visibles y accesibles a todas las poblaciones diferenciales de mi territorio.Sí - Intermedio;Módulo 1: Transparencia y Acceso a la Información Ambiental;6. Dentro de nuestra página web los canales de contacto son visibles y accesibles a todas las poblaciones diferenciales de mi territorio.;Sí - Intermedio;Incorporen criterios de enfoque diferencial en los canales de contacto institucionales, de modo que se garantice la inclusión efectiva y la participación activa de los distintos grupos poblacionales presentes en el territorio. Creen un protocolo de mantenimiento y mejoramiento del acceso.;VER ANEXO XX;Protocolo de mantenimiento y mejoramiento del acceso;
6. Dentro de nuestra página web los canales de contacto son visibles y accesibles a todas las poblaciones diferenciales de mi territorio.Sí - Avanzado;Módulo 1: Transparencia y Acceso a la Información Ambiental;6. Dentro de nuestra página web los canales de contacto son visibles y accesibles a todas las poblaciones diferenciales de mi territorio.;Sí - Avanzado;Diseñen e implementen procesos que faciliten la evaluación continua de los canales de contacto web por parte de los grupos poblacionales del territorio. Esta evaluación debe permitir recoger sus percepciones y sugerencias, e identificar si existen otros medios de contacto más pertinentes o efectivos que requieran un diseño y planeación adaptada a sus contextos y necesidades específicas. ;;;
6. Dentro de nuestra página web los canales de contacto son visibles y accesibles a todas las poblaciones diferenciales de mi territorio.No;Módulo 1: Transparencia y Acceso a la Información Ambiental;6. Dentro de nuestra página web los canales de contacto son visibles y accesibles a todas las poblaciones diferenciales de mi territorio.;No; ¡ALERTA! Revisen los lineamientos sobre relacionamiento con la ciudadanía establecidos en el Decreto 1499 de 2017, la Ley 1712 de 2014, la Resolución 1519 de 2020 (anexo técnico 2) y el Acuerdo de Escazú, y elaboren una ruta o plan de trabajo que les permita avanzar de manera progresiva y racional en la adecuación de sus canales de contacto, priorizando la inclusión, accesibilidad y transparencia.;;;
6. Dentro de nuestra página web los canales de contacto son visibles y accesibles a todas las poblaciones diferenciales de mi territorio.No aplica;Módulo 1: Transparencia y Acceso a la Información Ambiental;6. Dentro de nuestra página web los canales de contacto son visibles y accesibles a todas las poblaciones diferenciales de mi territorio.;No aplica;¡ALERTA! es un compromiso con el derecho de acceso a la información pública el garantizar acceso equitativo a la información ambiental por medio de la página web insitucional a todas las poblaciones de su territorio. Pidan un concepto al área juridica para asegurar que en realidad esto no aplica a su entidad.  ;VER ANEXO XX;;
7. El tiempo de respuesta de nuestros PQRS ambientales siempre se entregan bajo los términos de ley .Sí - Básico;Módulo 1: Transparencia y Acceso a la Información Ambiental;7. El tiempo de respuesta de nuestros PQRS ambientales siempre se entregan bajo los términos de ley .;Sí - Básico;Inicien el proceso de actualización y mejoramiento de respuesta a solicitudes ciudadanas para ellos revisen la ley 1755 y su reglamentación interna;;https://colaboracion.dnp.gov.co/CDT/Programa%20Nacional%20del%20Servicio%20al%20Ciudadano/NORMATIVA%20GESTI%C3%93N%20PQRSD%20F.pdf;
7. El tiempo de respuesta de nuestros PQRS ambientales siempre se entregan bajo los términos de ley .Sí - Intermedio;Módulo 1: Transparencia y Acceso a la Información Ambiental;7. El tiempo de respuesta de nuestros PQRS ambientales siempre se entregan bajo los términos de ley .;Sí - Intermedio;Identifiquen las causas que han originado incumplimientos en los tiempos de respuesta a solicitudes ciudadanas y definan acciones de mejora que permitan prevenir su recurrencia, fortaleciendo así la confianza y la eficiencia institucional. ;VER ANEXO XX;Modelo para deerminar causas de incmplimietno en pqrs;
7. El tiempo de respuesta de nuestros PQRS ambientales siempre se entregan bajo los términos de ley .Sí - Avanzado;Módulo 1: Transparencia y Acceso a la Información Ambiental;7. El tiempo de respuesta de nuestros PQRS ambientales siempre se entregan bajo los términos de ley .;Sí - Avanzado;Fortalezcan de manera participativa el seguimiento constante a la gestión de PQRS ambientales para asegurar respuestas en lenguaje claro comprensibles para los ciudadanos, Midan el nivel de comprensión de sus respuestas. Complementen esta labor con la publicación periódica de informes que incluyan estadísticas, tiempos de respuesta y mejoras implementadas, como lo establece la Resolución 1519 de 2020.;(Anexo técnico 2);;
7. El tiempo de respuesta de nuestros PQRS ambientales siempre se entregan bajo los términos de ley .No;Módulo 1: Transparencia y Acceso a la Información Ambiental;7. El tiempo de respuesta de nuestros PQRS ambientales siempre se entregan bajo los términos de ley .;No;¡ALERTA! La normatividad vigente obliga la respuesta de PQRS, no responder en los tiempos estipulados por la ley es una falta disciplinaria que puede llevar al funcionario o funcionarios encargados de responder a ser sancionados. Inicien el proceso de actualización y mejoramiento de respuesta a solicitudes ciudadanas para ellos revisen la ley 1755 y su reglamentación interna.;;;
7. El tiempo de respuesta de nuestros PQRS ambientales siempre se entregan bajo los términos de ley .No aplica;Módulo 1: Transparencia y Acceso a la Información Ambiental;7. El tiempo de respuesta de nuestros PQRS ambientales siempre se entregan bajo los términos de ley .;No aplica;¡ALERTA! La normatividad vigente obliga la respuesta de PQRS, no responder en los tiempos estipulados por la ley es una falta disciplinaria que puede llevar al funcionario o funcionarios encargados de responder a ser sancionados. Pidan un concepto al área juridica para asegurar que en realidad esto no aplica a su entidad.  ;VER ANEXO XX;;
8. Tenemos establecidos claramente los criterios para denegar solicitudes de información ambiental.Sí - Básico;Módulo 1: Transparencia y Acceso a la Información Ambiental;8. Tenemos establecidos claramente los criterios para denegar solicitudes de información ambiental.;Sí - Básico;Elaboren o actualicen el índice de información clasificada y reservada, asegurando que se incluyan los actos, documentos y datos que, conforme a la Ley 1712 de 2014, se encuentran legalmente restringidos. Definan de forma clara y accesible los criterios aplicables para la denegación de solicitudes de información ambiental, conforme al artículo 18 de dicha ley. ;;;
8. Tenemos establecidos claramente los criterios para denegar solicitudes de información ambiental.Sí - Intermedio;Módulo 1: Transparencia y Acceso a la Información Ambiental;8. Tenemos establecidos claramente los criterios para denegar solicitudes de información ambiental.;Sí - Intermedio;Revisen el índice de información clasificada y reservada y asegúrense de que incluya de forma explícita y comprensible los criterios para la denegación de información ambiental, en concordancia con el artículo 18 de la Ley 1712 de 2014. Verifiquen que esté adoptado formalmente mediante acto administrativo vigente y actualícenlo si es necesario. Para fortalecer la cultura de transparencia, promuevan espacios de formación dirigidos tanto a servidores públicos como a la ciudadanía, en los que se expliquen de manera clara las causales legales de reserva y se fomenten prácticas de acceso abierto responsable.;;;
8. Tenemos establecidos claramente los criterios para denegar solicitudes de información ambiental.Sí - Avanzado;Módulo 1: Transparencia y Acceso a la Información Ambiental;8. Tenemos establecidos claramente los criterios para denegar solicitudes de información ambiental.;Sí - Avanzado;Siga actualizando el índice de información clasificada y reservada, incluyendo de manera ordenada y sistemática las denominaciones, motivaciones y actos administrativos que justifican la reserva o clasificación. Esto no solo contribuye al cumplimiento de la Ley 1712 de 2014 y del Acuerdo de Escazú, sino que fortalece la confianza ciudadana en la gestión pública. Como buena práctica, pueden implementar un calendario de revisión trimestral y designar responsables por área para asegurar su constante actualización.;;;
8. Tenemos establecidos claramente los criterios para denegar solicitudes de información ambiental.No;Módulo 1: Transparencia y Acceso a la Información Ambiental;8. Tenemos establecidos claramente los criterios para denegar solicitudes de información ambiental.;No;¡ALERTA! Revisen los criterios, procedimientos y definiciones establecidos en el artículo 18 de la Ley 1712 de 2014 y en el Acuerdo de Escazú relacionados con la denegación de información ambiental. A partir de esta revisión, elaboren una ruta o plan de trabajo que les permita avanzar gradualmente en la adopción e implementación de estos lineamientos. Pueden considerar acciones como: identificar vacíos normativos internos, fortalecer capacidades técnicas del equipo jurídico, y establecer mecanismos internos de revisión y validación antes de emitir una respuesta negativa a una solicitud de información.;;;
8. Tenemos establecidos claramente los criterios para denegar solicitudes de información ambiental.No aplica;Módulo 1: Transparencia y Acceso a la Información Ambiental;8. Tenemos establecidos claramente los criterios para denegar solicitudes de información ambiental.;No aplica;¡ALERTA! La normatividad vigente obliga la elaboración de índice de información clasificada y reservada o hacerlos se configura como una falta disciplinaria que puede llevar al funcionario o funcionarios encargados de la información a ser sancionados. Pidan un concepto al área juridica para asegurar que en realidad esto no aplica a su entidad.  ;VER ANEXO XX;;
9. Conocemos la prueba de interés público para determinar la denegación de información.Sí - Básico;Módulo 1: Transparencia y Acceso a la Información Ambiental;9. Conocemos la prueba de interés público para determinar la denegación de información.;Sí - Básico;Definan claramente en qué situaciones aplica esta prueba y construyan un protocolo o instructivo que oriente su aplicación dentro de la entidad. Este instrumento puede incluir criterios técnicos y jurídicos, pasos de análisis, responsables por área, tiempos máximos de respuesta y ejemplos prácticos. Para garantizar su correcta implementación, promuevan procesos de formación interna, y sesiones de retroalimentación con los equipos encargados de gestionar solicitudes de información.;;"DOCUMENTO ¿QUÉ ES LA PRUEBA DE INTERES PÚBLICO?
Páragrafo 9 Aplicar la prueba de interés público: se debe ponderar el interés de retener la información y el beneficio público resultante de hacerla pública, sobre la base de elementos de idoneidad, necesidad y proporcionalidad.
Artículo 5.9 Cuando aplique la prueba de interés público, la autoridad competente ponderará el interés de retener la información y el beneficio público resultante de hacerla pública, sobre la base de elementos de idoneidad, necesidad y proporcionalidad.";
9. Conocemos la prueba de interés público para determinar la denegación de información.Sí - Intermedio;Módulo 1: Transparencia y Acceso a la Información Ambiental;9. Conocemos la prueba de interés público para determinar la denegación de información.;Sí - Intermedio;Implemente un sistema de seguimiento específico para los casos en los que se haya aplicado la prueba de interés público, documentando las justificaciones técnicas y jurídicas de manera clara y verificable. Para fortalecer la gestión institucional, desarrollen indicadores que permitan analizar la frecuencia de uso, los tipos de información involucrada y las decisiones tomadas.;;;
9. Conocemos la prueba de interés público para determinar la denegación de información.Sí - Avanzado;Módulo 1: Transparencia y Acceso a la Información Ambiental;9. Conocemos la prueba de interés público para determinar la denegación de información.;Sí - Avanzado;Realicen seguimiento periódico a los casos en los que se haya aplicado la prueba de interés público, manteniendo cifras actualizadas y registros sistematizados. Para fortalecer la trazabilidad y gestión del conocimiento, creen una base de datos interna o tablero de control que sirva como insumo para procesos de mejora y rendición de cuentas. ;;;
9. Conocemos la prueba de interés público para determinar la denegación de información.No;Módulo 1: Transparencia y Acceso a la Información Ambiental;9. Conocemos la prueba de interés público para determinar la denegación de información.;No;¡ALERTA! Revisen en el Acuerdo de Escazú y en la Ley 1712 de 2024 los criterios de denegación de información, entrega parcial de la información y la aplicación de la prueba de interés público. Determinen en que casos y ocasiones procede la aplicación de la prueba de interés público y elabore un protocolo (procedimiento, guía, instrumento) que determine los criterios, roles y responsabilidades para su aplicación. Socialice y capacite.;;;
9. Conocemos la prueba de interés público para determinar la denegación de información.No aplica;Módulo 1: Transparencia y Acceso a la Información Ambiental;9. Conocemos la prueba de interés público para determinar la denegación de información.;No aplica;¡ALERTA! es importante conocer la prueba de interés público para determinar la denegación de información ambiental. Pidan un concepto al área juridica para asegurar que en realidad esto no aplica a su entidad.  ;VER ANEXO XX;;
10. Contamos con formatos alternativos, accesibles y comprensibles para que la ciudadanía pueda acceder a la información ambiental y servicios de manera efectiva, incluyendo a la población en situación de vulnerabilidad.Sí - Básico;Módulo 1: Transparencia y Acceso a la Información Ambiental;10. Contamos con formatos alternativos, accesibles y comprensibles para que la ciudadanía pueda acceder a la información ambiental y servicios de manera efectiva, incluyendo a la población en situación de vulnerabilidad.;Sí - Básico;Revisen de manera integral todos los formatos que ofrece la entidad, asegurándose de que sean comprensibles, inclusivos y accesibles, según lo establecido en la normativa vigente. Para ello, pueden aplicar listas de verificación basadas en los estándares internacionales WCAG 2.1. En función de los hallazgos, realicen los ajustes necesarios que permitan a cualquier persona, independientemente de sus condiciones, acceder efectivamente a los servicios institucionales y la información ambiental disponible.;;;
